feature,importance
pages_viewed,0.1372758208654971
age,0.1257068536906571
time_spent_min,0.09183702614562993
engagement_score,0.0846288045390034
social_media_engagement,0.08357746773572614
email_intensity,0.06493475977140983
response_time_hours,0.06235786783100914
emails_sent,0.06174088914537745
follow_up_emails,0.05255819728896279
ctr_product_page,0.041565340734173194
form_submissions,0.03980662111405663
lead_status_score,0.03804594865561194
downloads,0.028506722571853313
payment_history_good,0.01560459781090637
is_organic_lead,0.011474440266615954
is_mobile,0.010713752170942073
is_desktop,0.010604939897058546
is_tablet,0.010443959586011707
is_email_lead,0.01001329309028092
is_referral_lead,0.009361153983256066
is_social_lead,0.009241543105960481
